replacement,hierarchy,trace,ipc
fifo,l3inclusive,bfs-3.trace.gz,0.277189
fifo,l3inclusive,bfs-8.trace.gz,0.286937
fifo,l3inclusive,cc-13.trace.gz,0.184047
fifo,l3inclusive,cc-14.trace.gz,0.213464
fifo,l3inclusive,cc-5.trace.gz,0.236479
fifo,l3inclusive,cc-6.trace.gz,0.174536
fifo,l3inclusive,pr-10.trace.gz,0.0530022
fifo,l3inclusive,pr-14.trace.gz,0.05555
fifo,l3inclusive,pr-3.trace.gz,0.051818
fifo,l3inclusive,pr-5.trace.gz,0.053216
fifo,l3inclusive,sssp-10.trace.gz,0.310972
fifo,l3inclusive,sssp-14.trace.gz,0.311181
fifo,l3inclusive,sssp-3.trace.gz,0.309389
fifo,l3inclusive,sssp-5.trace.gz,0.310209
fifo,cache,bc-0.trace.gz,0.126258
fifo,cache,bc-12.trace.gz,0.122041
fifo,cache,bc-3.trace.gz,0.147371
fifo,cache,bc-5.trace.gz,0.196532
fifo,cache,bfs-10.trace.gz,0.259993
fifo,cache,bfs-14.trace.gz,0.275761
fifo,cache,bfs-3.trace.gz,0.270194
fifo,cache,bfs-8.trace.gz,0.275494
fifo,cache,cc-13.trace.gz,0.18305
fifo,cache,cc-14.trace.gz,0.212118
fifo,cache,cc-5.trace.gz,0.234829
fifo,cache,cc-6.trace.gz,0.173586
fifo,cache,pr-10.trace.gz,0.0529917
fifo,cache,pr-14.trace.gz,0.0555376
fifo,cache,pr-3.trace.gz,0.0518081
fifo,cache,pr-5.trace.gz,0.053205
fifo,cache,sssp-10.trace.gz,0.297961
fifo,cache,sssp-14.trace.gz,0.298139
fifo,cache,sssp-3.trace.gz,0.294782
fifo,cache,sssp-5.trace.gz,0.296811
srrip,l3exclusive,bc-0.trace.gz,0.124101
srrip,l3exclusive,bc-12.trace.gz,0.120331
srrip,l3exclusive,bc-3.trace.gz,0.144784
srrip,l3exclusive,bc-5.trace.gz,0.192161
srrip,l3exclusive,bfs-10.trace.gz,0.262587
srrip,l3exclusive,bfs-14.trace.gz,0.280031
srrip,l3exclusive,bfs-3.trace.gz,0.273808
srrip,l3exclusive,bfs-8.trace.gz,0.279925
srrip,l3exclusive,cc-13.trace.gz,0.173862
srrip,l3exclusive,cc-14.trace.gz,0.201989
srrip,l3exclusive,cc-5.trace.gz,0.224298
srrip,l3exclusive,cc-6.trace.gz,0.164766
srrip,l3exclusive,pr-10.trace.gz,0.0494313
srrip,l3exclusive,pr-14.trace.gz,0.0509054
srrip,l3exclusive,pr-3.trace.gz,0.0487342
srrip,l3exclusive,pr-5.trace.gz,0.0495791
srrip,l3exclusive,sssp-10.trace.gz,0.29127
